Character,dialogue,season,chapter,to,ProD
Jory Cassel, With his burning sword? I'll remember that till the day I die.,1,4,Jaime Lannister,"Jory Cassel,Jaime Lannister, With his burning sword? I'll remember that till the day I die."
Jaime Lannister, I saw the youngest of the Greyjoy lads at Winterfell. It was like seeing a shark on a mountaintop.,1,4,Jory Cassel,"Jaime Lannister,Jory Cassel, I saw the youngest of the Greyjoy lads at Winterfell. It was like seeing a shark on a mountaintop."
Jory Cassel, Theon? He's a good lad.,1,4,Jaime Lannister,"Jory Cassel,Jaime Lannister, Theon? He's a good lad."
Jaime Lannister, I doubt it.,1,4,Robert Baratheon,"Jaime Lannister,Robert Baratheon, I doubt it."
Robert Baratheon, I'll bet you smell of blackberry jam! Let me smell it. Come here.,1,4,Jory Cassel,"Robert Baratheon,Jory Cassel, I'll bet you smell of blackberry jam! Let me smell it. Come here."
Jory Cassel, Can I leave this with you? The message from Lord Stark.,1,4,Jaime Lannister,"Jory Cassel,Jaime Lannister, Can I leave this with you? The message from Lord Stark."
Jaime Lannister, I don't serve Lord Stark.,1,4,Grenn,"Jaime Lannister,Grenn, I don't serve Lord Stark."
Grenn, Where have you been?,1,4,Jon Snow,"Grenn,Jon Snow, Where have you been?"
Jon Snow, Watch duty. With Sam.,1,4,Pyp,"Jon Snow,Pyp, Watch duty. With Sam."
Pyp, Prince Porkchop. Where is he?,1,4,Jon Snow,"Pyp,Jon Snow, Prince Porkchop. Where is he?"
Jon Snow, He wasn't hungry.,1,4,Pyp,"Jon Snow,Pyp, He wasn't hungry."
Pyp, Impossible!,1,4,Jon Snow,"Pyp,Jon Snow, Impossible!"
Jon Snow," That's enough. Sam's no different from the rest of us. There was no place for him in the world, so he's come here. We're not going to hurt him in the training yard anymore. Never again, no matter what Thorne says. He's our brother now and we're going to protect him.",1,4,Rast,"Jon Snow,Rast, That's enough. Sam's no different from the rest of us. There was no place for him in the world, so he's come here. We're not going to hurt him in the training yard anymore. Never again, no matter what Thorne says. He's our brother now and we're going to protect him."
Rast," You are in love, Lord Snow. You girls can do as you please. But if Thorne puts me up against Lady Piggy, I'm gonna slice me off a side of bacon.",1,4,Jon Snow,"Rast,Jon Snow, You are in love, Lord Snow. You girls can do as you please. But if Thorne puts me up against Lady Piggy, I'm gonna slice me off a side of bacon."
Jon Snow, No one touches Sam.,1,4,Alliser Thorne,"Jon Snow,Alliser Thorne, No one touches Sam."
Alliser Thorne," What are you waiting for? Attack him! You, get in there.",1,4,Grenn,"Alliser Thorne,Grenn, What are you waiting for? Attack him! You, get in there."
Grenn," Hit me. Go on, hit me! I yield! Yield yield. I yield.",1,4,Alliser Thorne,"Grenn,Alliser Thorne, Hit me. Go on, hit me! I yield! Yield yield. I yield."
Alliser Thorne," You think this is funny, do you? When you're out there beyond the Wall with the sun going down, do you want a man at your back? Or a sniveling boy?",1,4,Viserys Targaryen,"Alliser Thorne,Viserys Targaryen, You think this is funny, do you? When you're out there beyond the Wall with the sun going down, do you want a man at your back? Or a sniveling boy?"
Viserys Targaryen, You send this whore to give me commands? I should have sent you back her head!,1,4,Doreah,"Viserys Targaryen,Doreah, You send this whore to give me commands? I should have sent you back her head!"
Doreah," Forgive me, Khaleesi. I did as you asked.",1,4,Daenerys Targaryen,"Doreah,Daenerys Targaryen, Forgive me, Khaleesi. I did as you asked."
Daenerys Targaryen," Hush now. It's all right. Irri, take her and leave us.",1,4,Irri,"Daenerys Targaryen,Irri, Hush now. It's all right. Irri, take her and leave us."
Irri," Yes, Khaleesi.",1,4,Daenerys Targaryen,"Irri,Daenerys Targaryen, Yes, Khaleesi."
Daenerys Targaryen, Why did you hit her?!,1,4,Viserys Targaryen,"Daenerys Targaryen,Viserys Targaryen, Why did you hit her?!"
Viserys Targaryen, How many times do I have to tell you? You do not command me.,1,4,Daenerys Targaryen,"Viserys Targaryen,Daenerys Targaryen, How many times do I have to tell you? You do not command me."
Daenerys Targaryen, I wasn't commanding you. I just wanted to invite you to supper.,1,4,Viserys Targaryen,"Daenerys Targaryen,Viserys Targaryen, I wasn't commanding you. I just wanted to invite you to supper."
Viserys Targaryen, What's this?,1,4,Daenerys Targaryen,"Viserys Targaryen,Daenerys Targaryen, What's this?"
Daenerys Targaryen, It's a gift. I had it made for you.,1,4,Viserys Targaryen,"Daenerys Targaryen,Viserys Targaryen, It's a gift. I had it made for you."
Viserys Targaryen, Dothraki rags? Are you going to dress me now?,1,4,Daenerys Targaryen,"Viserys Targaryen,Daenerys Targaryen, Dothraki rags? Are you going to dress me now?"
Daenerys Targaryen, Please.,1,4,Viserys Targaryen,"Daenerys Targaryen,Viserys Targaryen, Please."
Viserys Targaryen, This stinks of manure. All of it.,1,4,Daenerys Targaryen,"Viserys Targaryen,Daenerys Targaryen, This stinks of manure. All of it."
Daenerys Targaryen, Stop  stop it.,1,4,Viserys Targaryen,"Daenerys Targaryen,Viserys Targaryen, Stop  stop it."
Viserys Targaryen," You would turn me into one of them, wouldn't you? Next you'll want to braid my hair.",1,4,Daenerys Targaryen,"Viserys Targaryen,Daenerys Targaryen, You would turn me into one of them, wouldn't you? Next you'll want to braid my hair."
Daenerys Targaryen, You've no right to a braid. You've won no victories yet.,1,4,Viserys Targaryen,"Daenerys Targaryen,Viserys Targaryen, You've no right to a braid. You've won no victories yet."
Viserys Targaryen, You do not talk back to me!,1,4,Viserys Targaryen,"Viserys Targaryen,Viserys Targaryen, You do not talk back to me!"
Viserys Targaryen, You are a horselord's slut. And now you've woken the dragon...,1,4,Daenerys Targaryen,"Viserys Targaryen,Daenerys Targaryen, You are a horselord's slut. And now you've woken the dragon..."
Daenerys Targaryen, I am a Khaleesi of the Dothraki! I am the wife of the great Khal and I carry his son inside me. The next time you raise a hand to me will be the last time you have hands.,1,4,Samwell Tarly,"Daenerys Targaryen,Samwell Tarly, I am a Khaleesi of the Dothraki! I am the wife of the great Khal and I carry his son inside me. The next time you raise a hand to me will be the last time you have hands."
Samwell Tarly, I know for a fact that some of the officers go to that brothel in Mole's Town.,1,4,Jon Snow,"Samwell Tarly,Jon Snow, I know for a fact that some of the officers go to that brothel in Mole's Town."
Jon Snow, I wouldn't doubt it.,1,4,Samwell Tarly,"Jon Snow,Samwell Tarly, I wouldn't doubt it."
Samwell Tarly, Don't you think it's a little bit unfair? Making us take our vows while they sneak off for a little sally on the side?,1,4,Jon Snow,"Samwell Tarly,Jon Snow, Don't you think it's a little bit unfair? Making us take our vows while they sneak off for a little sally on the side?"
Jon Snow, Sally on the side?,1,4,Samwell Tarly,"Jon Snow,Samwell Tarly, Sally on the side?"
Samwell Tarly,"It's silly, isn't it? What, we can't defend the Wall unless we're celibate? It's absurd.",1,4,Jon Snow,"Samwell Tarly,Jon Snow,It's silly, isn't it? What, we can't defend the Wall unless we're celibate? It's absurd."
Jon Snow, I didn't think you'd be so upset about it.,1,4,Samwell Tarly,"Jon Snow,Samwell Tarly, I didn't think you'd be so upset about it."
Samwell Tarly,Why not? Because I'm fat? But I like girls just as much as you do. They might not like me as much. I've never... been with one. You've probably had hundreds.,1,4,Jon Snow,"Samwell Tarly,Jon Snow,Why not? Because I'm fat? But I like girls just as much as you do. They might not like me as much. I've never... been with one. You've probably had hundreds."
Jon Snow," As a matter of fact, I'm the same as you.",1,4,Samwell Tarly,"Jon Snow,Samwell Tarly, As a matter of fact, I'm the same as you."
Samwell Tarly, I find that hard to believe.,1,4,Jon Snow,"Samwell Tarly,Jon Snow, I find that hard to believe."
Jon Snow," I came very close once. I was alone in a room with a naked girl, but...",1,4,Samwell Tarly,"Jon Snow,Samwell Tarly, I came very close once. I was alone in a room with a naked girl, but..."
Samwell Tarly,You didn't know where to put it?,1,4,Jon Snow,"Samwell Tarly,Jon Snow,You didn't know where to put it?"
Jon Snow, I know where to put it.,1,4,Samwell Tarly,"Jon Snow,Samwell Tarly, I know where to put it."
Samwell Tarly,Was she... Old and ugly?,1,4,Jon Snow,"Samwell Tarly,Jon Snow,Was she... Old and ugly?"
Jon Snow, Young and gorgeous. A whore named Ros.,1,4,Samwell Tarly,"Jon Snow,Samwell Tarly, Young and gorgeous. A whore named Ros."
Samwell Tarly, What color hair?,1,4,Jon Snow,"Samwell Tarly,Jon Snow, What color hair?"
Jon Snow, Red.,1,4,Samwell Tarly,"Jon Snow,Samwell Tarly, Red."
Samwell Tarly, I like red hair. And her... Her...,1,4,Jon Snow,"Samwell Tarly,Jon Snow, I like red hair. And her... Her..."
Jon Snow, You don't want to know.,1,4,Samwell Tarly,"Jon Snow,Samwell Tarly, You don't want to know."
Samwell Tarly, That good?,1,4,Jon Snow,"Samwell Tarly,Jon Snow, That good?"
Jon Snow, Better.,1,4,Samwell Tarly,"Jon Snow,Samwell Tarly, Better."
Samwell Tarly, Oh no. So why exactly did you not make love to Ros with the perfect...,1,4,Jon Snow,"Samwell Tarly,Jon Snow, Oh no. So why exactly did you not make love to Ros with the perfect..."
Jon Snow, What's my name?,1,4,Samwell Tarly,"Jon Snow,Samwell Tarly, What's my name?"
Samwell Tarly, Jon Snow?,1,4,Jon Snow,"Samwell Tarly,Jon Snow, Jon Snow?"
Jon Snow, And why is my surname Snow?,1,4,Samwell Tarly,"Jon Snow,Samwell Tarly, And why is my surname Snow?"
Samwell Tarly, Because... You're a bastard from the north.,1,4,Jon Snow,"Samwell Tarly,Jon Snow, Because... You're a bastard from the north."
Jon Snow," I never met my mother. My father wouldn't even tell me her name. I don't know if she's living or dead. I don't know if she's a noblewoman or a fisherman's wife... Or a whore. So I sat there in the brothel as Ros took off her clothes. But I couldn't do it. Because all I could think was what if I got her pregnant and she had a child, another bastard named Snow? It's not a good life for a child.",1,4,Samwell Tarly,"Jon Snow,Samwell Tarly, I never met my mother. My father wouldn't even tell me her name. I don't know if she's living or dead. I don't know if she's a noblewoman or a fisherman's wife... Or a whore. So I sat there in the brothel as Ros took off her clothes. But I couldn't do it. Because all I could think was what if I got her pregnant and she had a child, another bastard named Snow? It's not a good life for a child."
Samwell Tarly, So... You didn't know where to put it?,1,4,Alliser Thorne,"Samwell Tarly,Alliser Thorne, So... You didn't know where to put it?"
Alliser Thorne," Enjoying yourselves? You look cold, boys.",1,4,Samwell Tarly,"Alliser Thorne,Samwell Tarly, Enjoying yourselves? You look cold, boys."
Samwell Tarly, It is a bit nippy.,1,4,Alliser Thorne,"Samwell Tarly,Alliser Thorne, It is a bit nippy."
Alliser Thorne," A bit nippy, yeah, by the fire, indoors. It's still summer. Do you boys even remember the last winter? How long has it been now? What, 10 years? I remember. Was it uncomfortable at Winterfell? Were there days when you just couldn't get warm, never mind how many fires your servants built?",1,4,Jon Snow,"Alliser Thorne,Jon Snow, A bit nippy, yeah, by the fire, indoors. It's still summer. Do you boys even remember the last winter? How long has it been now? What, 10 years? I remember. Was it uncomfortable at Winterfell? Were there days when you just couldn't get warm, never mind how many fires your servants built?"
Jon Snow, I build my own fires.,1,4,Alliser Thorne,"Jon Snow,Alliser Thorne, I build my own fires."
Alliser Thorne," That's admirable. I spent six months out there, beyond the Wall during the last winter. It was supposed to be a twoweek mission. We heard a rumor Mance Rayder was planning to attack Eastwatch. So we went out to look for some of his men... Capture them, gather some knowledge. The Wildlings who fight for Mance Rayder are hard men. Harder than you'll ever be. They know their country better than we do. They knew there was a storm coming in. So they hid in their caves and waited for it to pass. And we got caught in the open. Wind so strong it yanked 100foot trees straight from the ground, roots and all. If you took your gloves off to find your cock to have a piss, you lost a finger to the frost. And all in darkness. You don't know cold. Neither of you do. The horses died first. We didn't have enough to feed them, to keep them warm. Eating the horses was easy. But later when we started to fall... That wasn't easy. We should have had a couple of boys like you along, shouldn't we? Soft, fat boys like you. We'd have lasted a fortnight on you and still had bones leftover for soup. Soon we'll have new recruits and you lot will be passed along to the Lord Commander for assignment and they will call you men of the Night's Watch, but you'd be fools to believe it. You're boys still. And come the winter you will die... Like flies.",1,4,Daenerys Targaryen,"Alliser Thorne,Daenerys Targaryen, That's admirable. I spent six months out there, beyond the Wall during the last winter. It was supposed to be a twoweek mission. We heard a rumor Mance Rayder was planning to attack Eastwatch. So we went out to look for some of his men... Capture them, gather some knowledge. The Wildlings who fight for Mance Rayder are hard men. Harder than you'll ever be. They know their country better than we do. They knew there was a storm coming in. So they hid in their caves and waited for it to pass. And we got caught in the open. Wind so strong it yanked 100foot trees straight from the ground, roots and all. If you took your gloves off to find your cock to have a piss, you lost a finger to the frost. And all in darkness. You don't know cold. Neither of you do. The horses died first. We didn't have enough to feed them, to keep them warm. Eating the horses was easy. But later when we started to fall... That wasn't easy. We should have had a couple of boys like you along, shouldn't we? Soft, fat boys like you. We'd have lasted a fortnight on you and still had bones leftover for soup. Soon we'll have new recruits and you lot will be passed along to the Lord Commander for assignment and they will call you men of the Night's Watch, but you'd be fools to believe it. You're boys still. And come the winter you will die... Like flies."
Daenerys Targaryen, I hit him. I hit the dragon.,1,4,Jorah Mormont,"Daenerys Targaryen,Jorah Mormont, I hit him. I hit the dragon."
Jorah Mormont, Your brother Rhaegar was the last dragon. Viserys is less than the shadow of a snake.,1,4,Daenerys Targaryen,"Jorah Mormont,Daenerys Targaryen, Your brother Rhaegar was the last dragon. Viserys is less than the shadow of a snake."
Daenerys Targaryen, He is still the true King.,1,4,Jorah Mormont,"Daenerys Targaryen,Jorah Mormont, He is still the true King."
Jorah Mormont, The truth now: do you want to see your brother sitting on the Iron Throne?,1,4,Daenerys Targaryen,"Jorah Mormont,Daenerys Targaryen, The truth now: do you want to see your brother sitting on the Iron Throne?"
Daenerys Targaryen, No. But the common people are waiting for him. Illyrio said they're sewing dragon banners and praying for his return.,1,4,Jorah Mormont,"Daenerys Targaryen,Jorah Mormont, No. But the common people are waiting for him. Illyrio said they're sewing dragon banners and praying for his return."
Jorah Mormont," The common people pray for rain, health and a summer that never ends. They don't care what games the high Lords play.",1,4,Daenerys Targaryen,"Jorah Mormont,Daenerys Targaryen, The common people pray for rain, health and a summer that never ends. They don't care what games the high Lords play."
Daenerys Targaryen,"What do you pray for, Ser Jorah?",1,4,Jorah Mormont,"Daenerys Targaryen,Jorah Mormont,What do you pray for, Ser Jorah?"
Jorah Mormont, Home.,1,4,Daenerys Targaryen,"Jorah Mormont,Daenerys Targaryen, Home."
Daenerys Targaryen, I pray for home too. My brother will never take back the Seven Kingdoms. He couldn't lead an army even if my husband gave him one. He'll never take us home.,1,4,Petyr Baelish,"Daenerys Targaryen,Petyr Baelish, I pray for home too. My brother will never take back the Seven Kingdoms. He couldn't lead an army even if my husband gave him one. He'll never take us home."
Petyr Baelish, Lover's quarrel?,1,4,Sansa Stark,"Petyr Baelish,Sansa Stark, Lover's quarrel?"
Sansa Stark, I'm sorry. Do I...?,1,4,Septa Mordane,"Sansa Stark,Septa Mordane, I'm sorry. Do I...?"
Septa Mordane," Sansa dear, this is Lord Baelish. He's known...",1,4,Petyr Baelish,"Septa Mordane,Petyr Baelish, Sansa dear, this is Lord Baelish. He's known..."
Petyr Baelish, An old friend of the family. I've known your mother a long long time.,1,4,Arya Stark,"Petyr Baelish,Arya Stark, An old friend of the family. I've known your mother a long long time."
Arya Stark, Why do they call you Littlefinger?,1,4,Sansa Stark,"Arya Stark,Sansa Stark, Why do they call you Littlefinger?"
Sansa Stark, Arya!,1,4,Septa Mordane,"Sansa Stark,Septa Mordane, Arya!"
Septa Mordane, Don't be rude!,1,4,Petyr Baelish,"Septa Mordane,Petyr Baelish, Don't be rude!"
Petyr Baelish," No, it's quite all right. When I was a child I was very small and I come from a little spit of land called The Fingers, so you see, it's an exceedingly clever nickname.",1,4,Robert Baratheon,"Petyr Baelish,Robert Baratheon, No, it's quite all right. When I was a child I was very small and I come from a little spit of land called The Fingers, so you see, it's an exceedingly clever nickname."
Robert Baratheon, I've been sitting here for days! Start the damn joust before I piss myself!,1,4,Sansa Stark,"Robert Baratheon,Sansa Stark, I've been sitting here for days! Start the damn joust before I piss myself!"
Sansa Stark," Gods, who is that?",1,4,Petyr Baelish,"Sansa Stark,Petyr Baelish, Gods, who is that?"
Petyr Baelish, Ser Gregor Clegane. They call him the Mountain. The Hound's older brother.,1,4,Sansa Stark,"Petyr Baelish,Sansa Stark, Ser Gregor Clegane. They call him the Mountain. The Hound's older brother."
Sansa Stark, And his opponent?,1,4,Petyr Baelish,"Sansa Stark,Petyr Baelish, And his opponent?"
Petyr Baelish, Ser Hugh of the Vale. He was Jon Arryn's squire. Look how far he's come.,1,4,Robert Baratheon,"Petyr Baelish,Robert Baratheon, Ser Hugh of the Vale. He was Jon Arryn's squire. Look how far he's come."
Robert Baratheon," Yes, yes. Enough of the bloody pomp. Have at it!",1,4,Petyr Baelish,"Robert Baratheon,Petyr Baelish, Yes, yes. Enough of the bloody pomp. Have at it!"
Petyr Baelish," Not what you were expecting? Has anyone ever told you the story of the Mountain and the Hound? Lovely little tale of brotherly love. The Hound was just a pup, six years old maybe. Gregor a few years older, already a big lad, already getting a bit of a reputation. Some lucky boys just born with a talent for violence. One evening... Gregor found his little brother playing with a toy by the fire... Gregor's toy, a wooden knight. Gregor never said a word, he just grabbed his brother by the scruff of his neck and shoved his face into the burning coals. Held him there while the boy screamed, while his face melted. There aren't very many people who know that story.",1,4,Sansa Stark,"Petyr Baelish,Sansa Stark, Not what you were expecting? Has anyone ever told you the story of the Mountain and the Hound? Lovely little tale of brotherly love. The Hound was just a pup, six years old maybe. Gregor a few years older, already a big lad, already getting a bit of a reputation. Some lucky boys just born with a talent for violence. One evening... Gregor found his little brother playing with a toy by the fire... Gregor's toy, a wooden knight. Gregor never said a word, he just grabbed his brother by the scruff of his neck and shoved his face into the burning coals. Held him there while the boy screamed, while his face melted. There aren't very many people who know that story."
Sansa Stark, I won't tell anyone. I promise.,1,4,Petyr Baelish,"Sansa Stark,Petyr Baelish, I won't tell anyone. I promise."
Petyr Baelish," No, please don't. If the Hound so much as heard you mention it, I'm afraid all the knights in King's Landing would not be able to save you.",1,4,Jory Cassel,"Petyr Baelish,Jory Cassel, No, please don't. If the Hound so much as heard you mention it, I'm afraid all the knights in King's Landing would not be able to save you."
Jory Cassel," My Lord, Her Grace the Queen.",1,4,Ned Stark,"Jory Cassel,Ned Stark, My Lord, Her Grace the Queen."
Ned Stark, Your Grace.,1,4,Cersei Lannister,"Ned Stark,Cersei Lannister, Your Grace."
Cersei Lannister, You're missing your tournament.,1,4,Ned Stark,"Cersei Lannister,Ned Stark, You're missing your tournament."
Ned Stark, Putting my name on it doesn't make it mine.,1,4,Cersei Lannister,"Ned Stark,Cersei Lannister, Putting my name on it doesn't make it mine."
Cersei Lannister, I thought we might put what happened on the Kingsroad behind us  the ugliness with the wolves. And forcing you to kill the beast was extreme. Though sometimes we go to extremes where our children are concerned. How is Sansa?,1,4,Ned Stark,"Cersei Lannister,Ned Stark, I thought we might put what happened on the Kingsroad behind us  the ugliness with the wolves. And forcing you to kill the beast was extreme. Though sometimes we go to extremes where our children are concerned. How is Sansa?"
Ned Stark, She likes it here.,1,4,Cersei Lannister,"Ned Stark,Cersei Lannister, She likes it here."
Cersei Lannister," The only Stark who does. Favors her mother, not much of the north in her.",1,4,Ned Stark,"Cersei Lannister,Ned Stark, The only Stark who does. Favors her mother, not much of the north in her."
Ned Stark, What are you doing here?,1,4,Cersei Lannister,"Ned Stark,Cersei Lannister, What are you doing here?"
Cersei Lannister, I might ask the same of you. What is it you hope to accomplish?,1,4,Ned Stark,"Cersei Lannister,Ned Stark, I might ask the same of you. What is it you hope to accomplish?"
Ned Stark," The King called on me to serve him and the realm, and that's what I'll do until he tells me otherwise.",1,4,Cersei Lannister,"Ned Stark,Cersei Lannister, The King called on me to serve him and the realm, and that's what I'll do until he tells me otherwise."
Cersei Lannister," You can't change him. You can't help him. He'll do what he wants, which is all he's ever done. You'll try your best to pick up the pieces.",1,4,Ned Stark,"Cersei Lannister,Ned Stark, You can't change him. You can't help him. He'll do what he wants, which is all he's ever done. You'll try your best to pick up the pieces."
Ned Stark," If that's my job, then so be it.",1,4,Cersei Lannister,"Ned Stark,Cersei Lannister, If that's my job, then so be it."
Cersei Lannister," You're just a soldier, aren't you? You take your orders and you carry on. I suppose it makes sense. Your older brother was trained to lead and you were trained to follow.",1,4,Ned Stark,"Cersei Lannister,Ned Stark, You're just a soldier, aren't you? You take your orders and you carry on. I suppose it makes sense. Your older brother was trained to lead and you were trained to follow."
Ned Stark," I was also trained to kill my enemies, Your Grace.",1,4,Cersei Lannister,"Ned Stark,Cersei Lannister, I was also trained to kill my enemies, Your Grace."
Cersei Lannister, As was I.,1,4,Marillion,"Cersei Lannister,Marillion, As was I."
Marillion," Seven blessings to you, goodfolk!",1,4,Catelyn Stark,"Marillion,Catelyn Stark, Seven blessings to you, goodfolk!"
Catelyn Stark, And to you.,1,4,Rodrick Cassel,"Catelyn Stark,Rodrick Cassel, And to you."
Rodrick Cassel," Boy! Bread, meat and beer, quickly.",1,4,Marillion,"Rodrick Cassel,Marillion, Boy! Bread, meat and beer, quickly."
Marillion," Good idea, grandfather. I'm starving. A song while we wait or?",1,4,Rodrick Cassel,"Marillion,Rodrick Cassel, Good idea, grandfather. I'm starving. A song while we wait or?"
Rodrick Cassel, I'd rather throw myself down a well.,1,4,Marillion,"Rodrick Cassel,Marillion, I'd rather throw myself down a well."
Marillion," Grandfather, may be your last chance if you're heading north. The only music the northerners know is the howling of wolves!",1,4,Masha Heddle,"Marillion,Masha Heddle, Grandfather, may be your last chance if you're heading north. The only music the northerners know is the howling of wolves!"
Masha Heddle," I'm sorry, my Lord, we're full up. Every room.",1,4,Tyrion Lannister,"Masha Heddle,Tyrion Lannister, I'm sorry, my Lord, we're full up. Every room."
Tyrion Lannister," My men can sleep in the stable. As for myself, I don't require a large room.",1,4,Masha Heddle,"Tyrion Lannister,Masha Heddle, My men can sleep in the stable. As for myself, I don't require a large room."
Masha Heddle," Truly, my lord, we have nothing.",1,4,Tyrion Lannister,"Masha Heddle,Tyrion Lannister, Truly, my lord, we have nothing."
Tyrion Lannister, Is there nothing I can do... to remedy this?,1,4,Bronn Of The Blackwater,"Tyrion Lannister,Bronn Of The Blackwater, Is there nothing I can do... to remedy this?"
Bronn Of The Blackwater, You can have my room.,1,4,Tyrion Lannister,"Bronn Of The Blackwater,Tyrion Lannister, You can have my room."
Tyrion Lannister," There's a clever man. You can manage food, I trust? Yoren, dine with me.",1,4,Yoren,"Tyrion Lannister,Yoren, There's a clever man. You can manage food, I trust? Yoren, dine with me."
Yoren," Aye, my Lord.",1,4,Marillion,"Yoren,Marillion, Aye, my Lord."
Marillion, My Lord of Lannister! Might I entertain you while you eat? I can sing of your father's victory at King's Landing!,1,4,Tyrion Lannister,"Marillion,Tyrion Lannister, My Lord of Lannister! Might I entertain you while you eat? I can sing of your father's victory at King's Landing!"
Tyrion Lannister, Nothing would more likely ruin my supper. Lady Stark! What an unexpected pleasure. I was sorry to have missed you at Winterfell.,1,4,Masha Heddle,"Tyrion Lannister,Masha Heddle, Nothing would more likely ruin my supper. Lady Stark! What an unexpected pleasure. I was sorry to have missed you at Winterfell."
Masha Heddle, Lady Stark.,1,4,Catelyn Stark,"Masha Heddle,Catelyn Stark, Lady Stark."
Catelyn Stark," I was still Catelyn Tully the last time I stayed here. You, Ser... Is that the black bat of Harrenhal I see embroidered on your coat?",1,4,Knight Of House Whent,"Catelyn Stark,Knight Of House Whent, I was still Catelyn Tully the last time I stayed here. You, Ser... Is that the black bat of Harrenhal I see embroidered on your coat?"
Knight Of House Whent," It is, my Lady.",1,4,Catelyn Stark,"Knight Of House Whent,Catelyn Stark, It is, my Lady."
Catelyn Stark, And is Lady Whent a true and honest friend to my father... Lord Hoster Tully of Riverrun?,1,4,Knight Of House Whent,"Catelyn Stark,Knight Of House Whent, And is Lady Whent a true and honest friend to my father... Lord Hoster Tully of Riverrun?"
Knight Of House Whent, She is.,1,4,Catelyn Stark,"Knight Of House Whent,Catelyn Stark, She is."
Catelyn Stark, The red stallion was always a welcome sight at Riverrun. My father counts Jonas Bracken amongst his oldest and most loyal bannermen.,1,4,Knight Of House Bracken,"Catelyn Stark,Knight Of House Bracken, The red stallion was always a welcome sight at Riverrun. My father counts Jonas Bracken amongst his oldest and most loyal bannermen."
Knight Of House Bracken, Our lord is honored by his trust.,1,4,Tyrion Lannister,"Knight Of House Bracken,Tyrion Lannister, Our lord is honored by his trust."
Tyrion Lannister," I envy your father all his fine friends, but I don't quite see the purpose of this.",1,4,Catelyn Stark,"Tyrion Lannister,Catelyn Stark, I envy your father all his fine friends, but I don't quite see the purpose of this."
Catelyn Stark,"Knight of House Frey: Lord Walder is well, my Lady. He has asked your father for the honor of his presence on his 90th nameday. He plans to take another wife.",1,4,Catelyn Stark,"Catelyn Stark,Catelyn Stark,Knight of House Frey: Lord Walder is well, my Lady. He has asked your father for the honor of his presence on his 90th nameday. He plans to take another wife."
Catelyn Stark," This man... Came into my house as a guest and there conspired to murder my son, a boy of 10. In the name of King Robert and the good Lords you serve, I call upon you to seize him and help me return him to Winterfell to await the king's justice.",1,4,Ned Stark,"Catelyn Stark,Ned Stark, This man... Came into my house as a guest and there conspired to murder my son, a boy of 10. In the name of King Robert and the good Lords you serve, I call upon you to seize him and help me return him to Winterfell to await the king's justice."
Ned Stark, Does Ser Hugh have any family in the capital?,1,5,Barristan Selmy,"Ned Stark,Barristan Selmy, Does Ser Hugh have any family in the capital?"
Barristan Selmy, No. I stood vigil for him myself last night. He had no one else.,1,5,Ned Stark,"Barristan Selmy,Ned Stark, No. I stood vigil for him myself last night. He had no one else."
Ned Stark, He'd never worn this armor before.,1,5,Barristan Selmy,"Ned Stark,Barristan Selmy, He'd never worn this armor before."
Barristan Selmy, Bad luck for him... Going against the Mountain.,1,5,Ned Stark,"Barristan Selmy,Ned Stark, Bad luck for him... Going against the Mountain."
Ned Stark, Who determines the draw?,1,5,Barristan Selmy,"Ned Stark,Barristan Selmy, Who determines the draw?"
Barristan Selmy," All the knights draw straws, Lord Stark.",1,5,Ned Stark,"Barristan Selmy,Ned Stark, All the knights draw straws, Lord Stark."
Ned Stark," Aye... But who holds the straws? You've done good work, Sisters.",1,5,Barristan Selmy,"Ned Stark,Barristan Selmy, Aye... But who holds the straws? You've done good work, Sisters."
Barristan Selmy, Life is strange. Not so many years ago we fought as enemies at the Trident.,1,5,Ned Stark,"Barristan Selmy,Ned Stark, Life is strange. Not so many years ago we fought as enemies at the Trident."
Ned Stark," I'm glad we never met on the field, Ser Barristan... as is my wife. I don't think the widow's life would suit her.",1,5,Barristan Selmy,"Ned Stark,Barristan Selmy, I'm glad we never met on the field, Ser Barristan... as is my wife. I don't think the widow's life would suit her."
Barristan Selmy, You're too modest. I've seen you cut down a dozen great knights.,1,5,Ned Stark,"Barristan Selmy,Ned Stark, You're too modest. I've seen you cut down a dozen great knights."
Ned Stark, My father once told me you were the best he'd ever seen. I never knew the man to be wrong about matters of combat.,1,5,Barristan Selmy,"Ned Stark,Barristan Selmy, My father once told me you were the best he'd ever seen. I never knew the man to be wrong about matters of combat."
Barristan Selmy," He was a fine man, your father. What the Mad King did to him was a terrible crime.",1,5,Ned Stark,"Barristan Selmy,Ned Stark, He was a fine man, your father. What the Mad King did to him was a terrible crime."
Ned Stark, And that lad... He was a squire until a few months ago. How could he afford a new suit of armor?,1,5,Barristan Selmy,"Ned Stark,Barristan Selmy, And that lad... He was a squire until a few months ago. How could he afford a new suit of armor?"
Barristan Selmy, Perhaps Lord Arryn left him some money? I hear the King wants to joust today.,1,5,Ned Stark,"Barristan Selmy,Ned Stark, Perhaps Lord Arryn left him some money? I hear the King wants to joust today."
Ned Stark, Yes. That will never happen.,1,5,Barristan Selmy,"Ned Stark,Barristan Selmy, Yes. That will never happen."
Barristan Selmy, Robert tends to do what he wants.,1,5,Ned Stark,"Barristan Selmy,Ned Stark, Robert tends to do what he wants."
